Postal Code,Sales
T0A,346560
T0B,28761
T0C,406061
T0E,55599
T0G,77281
T0H,288135
T0J,100963
T0K,438474
T0L,29248
T0M,104822
T0P,241272
T0V,87474
T1A,97623
T1B,391232
T1C,14252
T1G,1629516
T1H,284996
T1J,95071
T1K,113482
T1L,366954
T1M,108723
T1P,65331
T1R,797765
T1S,108879
T1V,35168
T1W,22503
T1X,2076529
T1Y,30661
T2A,423196
T2B,71278
T2C,186464
T2E,105241
T2G,539560
T2H,157624
T2J,234392
T2K,362864
T2L,60765
T2M,45946
T2N,144525
T2P,164541
T2R,179098
T2S,13786650
T2T,486534
T2V,795601
T2W,787362
T2X,51258
T2Y,48573
T2Z,236959
T3A,41706
T3B,114760
T3C,159999
T3E,11701
T3G,105616
T3H,57311
T3J,942333
T3K,73543
T3L,106488
T3M,163851
T3N,956887
T3P,63447
T3R,12215
T3Z,49546
T4A,13165
T4B,1024032
T4C,49117
T4E,898760
T4G,54951
T4H,668961
T4J,280208
T4L,19798
T4N,20385
T4P,37193
T4R,826677
T4S,282067
T4T,34408
T4V,107467
T4X,56186
T5A,107317
T5B,162896
T5C,165825
T5E,123959
T5G,18157
T5H,773303
T5J,108473
T5K,91129
T5L,73467
T5M,98180
T5N,334252
T5P,13241714
T5R,2611155
T5S,802774
T5T,372026
T5V,47731
T5W,83737
T5X,85471
T5Y,606006
T5Z,28814
T6A,1269945
T6B,94558
T6C,177970
T6E,484616
T6G,114395
T6H,253686
T6J,512457
T6K,18162
T6L,40526
T6M,60827
T6N,67584
T6P,19604
T6R,60067
T6S,22038
T6T,46138
T6V,62933
T6W,37666
T6X,28723
T7A,582972
T7E,612167
T7N,20812
T7P,248946
T7S,180916
T7V,311873
T7X,417492
T7Y,179948
T7Z,436947
T8A,53066
T8B,43010
T8C,12635
T8E,1275404
T8G,104937
T8H,35520
T8L,38499
T8N,30274
T8R,622781
T8S,352768
T8V,288295
T8W,528852
T8X,24797
T9A,13049
T9C,289828
T9E,170184
T9G,278000
T9H,46927
T9J,61499
T9K,206730
T9M,1859896
T9N,55023
T9S,52329
T9V,44248
T9W,1932035
T9X,21503
V0A,40341
V0B,80850
V0C,67253
V0E,317738
V0G,1033202
V0H,379480
V0J,103246
V0K,34113
V0L,25698
V0M,197053
V0N,1443424
V0P,119175
V0R,195125
V0S,33203
V0T,199910
V0V,322757
V0W,154116
V0X,70574
V1A,94677
V1B,73962
V1C,56073
V1E,40005
V1G,54287
V1H,20648
V1J,599419
V1K,143180
V1L,559089
V1M,122307
V1N,464440
V1P,212030
V1R,54821
V1S,178015
V1T,31949
V1V,109643
V1W,395788
V1X,558368
V1Y,13431
V1Z,99031
V2A,83721
V2B,184305
V2C,87350
V2E,555722
V2G,688635
V2H,12687
V2J,76064
V2K,107122
V2L,13650
V2M,114032
V2N,795124
V2P,56625
V2R,34900
V2S,11097
V2T,414880
V2V,450046
V2W,92696
V2X,656372
V2Y,3231275
V2Z,34440
V3A,318482
V3B,270402
V3C,315682
V3E,927011
V3G,102951
V3H,45516
V3J,275842
V3K,165914
V3L,161504
V3M,346560
V3N,28761
V3R,406061
V3S,55599
V3T,77281
V3V,288135
V3W,100963
V3X,438474
V3Y,29248
V4A,104822
V4B,241272
V4C,87474
V4E,97623
V4G,391232
V4K,14252
V4L,1629516
V4M,284996
V4N,95071
V4P,113482
V4R,366954
V4S,108723
V4T,65331
V4V,797765
V4W,108879
V4X,35168
V4Z,22503
V5A,2076529
V5B,30661
V5C,423196
V5E,71278
V5G,186464
V5H,105241
V5J,539560
V5K,157624
V5L,234392
V5M,362864
V5N,60765
V5P,45946
V5R,144525
V5S,164541
V5T,179098
V5V,13786650
V5W,486534
V5X,795601
V5Y,787362
V5Z,51258
V6A,48573
V6B,236959
V6C,41706
V6E,114760
V6G,159999
V6H,11701
V6J,105616
V6K,57311
V6L,942333
V6M,73543
V6N,106488
V6P,163851
V6R,956887
V6S,63447
V6T,12215
V6V,49546
V6W,13165
V6X,1024032
V6Y,49117
V6Z,898760
V7A,54951
V7B,668961
V7C,280208
V7E,19798
V7G,20385
V7H,37193
V7J,826677
V7K,282067
V7L,34408
V7M,107467
V7N,56186
V7P,107317
V7R,162896
V7S,165825
V7T,123959
V7V,18157
V7W,773303
V7X,108473
V7Y,91129
V8A,73467
V8B,98180
V8C,334252
V8G,13241714
V8J,2611155
V8K,802774
V8L,372026
V8M,47731
V8N,83737
V8P,85471
V8R,606006
V8S,28814
V8T,1269945
V8V,94558
V8W,177970
V8X,484616
V8Y,114395
V8Z,253686
V9A,512457
V9B,18162
V9C,40526
V9E,60827
V9G,67584
V9H,19604
V9J,60067
V9K,22038
V9L,46138
V9M,62933
V9N,37666
V9P,28723
V9R,582972
V9S,612167
V9T,20812
V9V,248946
V9W,180916
V9X,311873
V9Y,417492
R0A,179948
R0B,436947
R0C,53066
R0E,43010
R0G,12635
R0H,1275404
R0J,104937
R0K,35520
R0L,38499
R0M,30274
R1A,622781
R1B,352768
R1N,288295
R2C,528852
R2E,24797
R2G,13049
R2H,289828
R2J,170184
R2K,278000
R2L,46927
R2M,61499
R2N,206730
R2P,1859896
R2R,55023
R2V,52329
R2W,44248
R2X,1932035
R2Y,21503
R3A,40341
R3B,80850
R3C,67253
R3E,317738
R3G,1033202
R3H,379480
R3J,103246
R3K,34113
R3L,25698
R3M,197053
R3N,1443424
R3P,119175
R3R,195125
R3S,33203
R3T,199910
R3V,322757
R3W,154116
R3X,70574
R3Y,94677
R4A,73962
R4H,56073
R4J,40005
R4K,54287
R4L,20648
R5A,599419
R5G,143180
R5H,559089
R6M,122307
R6W,464440
R7A,212030
R7B,54821
R7C,178015
R7N,31949
R8A,109643
R8N,395788
R9A,558368
E1A,13431
E1B,99031
E1C,83721
E1E,184305
E1G,87350
E1H,555722
E1J,688635
E1N,12687
E1V,76064
E1W,107122
E1X,13650
E2A,114032
E2E,795124
E2G,56625
E2H,34900
E2J,11097
E2K,414880
E2L,450046
E2M,92696
E2N,656372
E2P,3231275
E2R,34440
E2S,318482
E2V,270402
E3A,315682
E3B,927011
E3C,102951
E3E,45516
E3L,275842
E3N,165914
E3V,161504
E3Y,346560
E3Z,28761
E4A,406061
E4B,55599
E4C,77281
E4E,288135
E4G,100963
E4H,438474
E4J,29248
E4K,104822
E4L,241272
E4M,87474
E4N,97623
E4P,391232
E4R,14252
E4S,1629516
E4T,284996
E4V,95071
E4W,113482
E4X,366954
E4Y,108723
E4Z,65331
E5A,797765
E5B,108879
E5C,35168
E5E,22503
E5G,2076529
E5H,30661
E5J,423196
E5K,71278
E5L,186464
E5M,105241
E5N,539560
E5P,157624
E5R,234392
E5S,362864
E5T,60765
E5V,45946
E6A,144525
E6B,164541
E6C,179098
E6E,13786650
E6G,486534
E6H,795601
E6J,787362
E6K,51258
E6L,48573
E7A,236959
E7B,41706
E7C,114760
E7E,159999
E7G,11701
E7H,105616
E7J,57311
E7K,942333
E7L,73543
E7M,106488
E7N,163851
E7P,956887
E8A,63447
E8B,12215
E8C,49546
E8E,13165
E8G,1024032
E8J,49117
E8K,898760
E8L,54951
E8M,668961
E8N,280208
E8P,19798
E8R,20385
E8S,37193
E8T,826677
E9A,282067
E9B,34408
E9C,107467
E9E,56186
E9G,107317
E9H,162896
A0A,165825
A0B,123959
A0C,18157
A0E,773303
A0G,108473
A0H,91129
A0J,73467
A0K,98180
A0L,334252
A0M,13241714
A0N,2611155
A0P,802774
A0R,372026
A1A,47731
A1B,83737
A1C,85471
A1E,606006
A1G,28814
A1H,1269945
A1K,94558
A1L,177970
A1M,484616
A1N,114395
A1S,253686
A1V,512457
A1W,18162
A1X,40526
A1Y,60827
A2A,67584
A2B,19604
A2H,60067
A2N,22038
A2V,46138
A5A,62933
A8A,37666
B0C,28723
B0E,582972
B0H,612167
B0J,20812
B0K,248946
B0L,180916
B0M,311873
B0N,417492
B0P,179948
B0R,436947
B0S,53066
B0T,43010
B0V,12635
B0W,1275404
B1A,104937
B1B,35520
B1C,38499
B1E,30274
B1G,622781
B1H,352768
B1J,288295
B1K,528852
B1L,24797
B1M,13049
B1N,289828
B1P,170184
B1R,278000
B1S,46927
B1T,61499
B1V,206730
B1W,1859896
B1X,55023
B1Y,52329
B2A,44248
B2C,1932035
B2E,21503
B2G,40341
B2H,80850
B2J,67253
B2N,317738
B2R,1033202
B2S,379480
B2T,103246
B2V,34113
B2W,25698
B2X,197053
B2Y,1443424
B2Z,119175
B3A,195125
B3B,33203
B3E,199910
B3G,322757
B3H,154116
B3J,70574
B3K,94677
B3L,73962
B3M,56073
B3N,40005
B3P,54287
B3R,20648
B3S,599419
B3T,143180
B3V,559089
B3Z,122307
B4A,464440
B4B,212030
B4C,54821
B4E,178015
B4G,31949
B4H,109643
B4N,395788
B4P,558368
B4R,13431
B4V,99031
B5A,83721
B9A,184305
X0E,87350
X0G,555722
X1A,688635
X0A,12687
X0B,76064
X0C,107122
K0A,13650
K0B,114032
K0C,795124
K0E,56625
K0G,34900
K0H,11097
K0J,414880
K0K,450046
K0L,92696
K0M,656372
K1A,3231275
K1B,34440
K1C,318482
K1E,270402
K1G,315682
K1H,927011
K1J,102951
K1K,45516
K1L,275842
K1M,165914
K1N,161504
K1P,346560
K1R,28761
K1S,406061
K1T,55599
K1V,77281
K1W,288135
K1X,100963
K1Y,438474
K1Z,29248
K2A,104822
K2B,241272
K2C,87474
K2E,97623
K2G,391232
K2H,14252
K2J,1629516
K2K,284996
K2L,95071
K2M,113482
K2P,366954
K2R,108723
K2S,65331
K2T,797765
K2V,108879
K2W,35168
K4A,22503
K4B,2076529
K4C,30661
K4K,423196
K4M,71278
K4P,186464
K4R,105241
K6A,539560
K6H,157624
K6J,234392
K6K,362864
K6T,60765
K6V,45946
K7A,144525
K7C,164541
K7G,179098
K7H,13786650
K7K,486534
K7L,795601
K7M,787362
K7N,51258
K7P,48573
K7R,236959
K7S,41706
K7V,114760
K8A,159999
K8B,11701
K8H,105616
K8N,57311
K8P,942333
K8R,73543
K8V,106488
K9A,163851
K9H,956887
K9J,63447
K9K,12215
K9L,49546
K9V,13165
L0A,1024032
L0B,49117
L0C,898760
L0E,54951
L0G,668961
L0H,280208
L0J,19798
L0K,20385
L0L,37193
L0M,826677
L0N,282067
L0P,34408
L0R,107467
L0S,56186
L1A,107317
L1B,162896
L1C,165825
L1E,123959
L1G,18157
L1H,773303
L1J,108473
L1K,91129
L1L,73467
L1M,98180
L1N,334252
L1P,13241714
L1R,2611155
L1S,802774
L1T,372026
L1V,47731
L1W,83737
L1X,85471
L1Y,606006
L1Z,28814
L2A,1269945
L2E,94558
L2G,177970
L2H,484616
L2J,114395
L2M,253686
L2N,512457
L2P,18162
L2R,40526
L2S,60827
L2T,67584
L2V,19604
L2W,60067
L3B,22038
L3C,46138
L3K,62933
L3M,37666
L3P,28723
L3R,582972
L3S,612167
L3T,20812
L3V,248946
L3X,180916
L3Y,311873
L3Z,417492
L4A,179948
L4B,436947
L4C,53066
L4E,43010
L4G,12635
L4H,1275404
L4J,104937
L4K,35520
L4L,38499
L4M,30274
L4N,622781
L4P,352768
L4R,288295
L4S,528852
L4T,24797
L4V,13049
L4W,289828
L4X,170184
L4Y,278000
L4Z,46927
L5A,61499
L5B,206730
L5C,1859896
L5E,55023
L5G,52329
L5H,44248
L5J,1932035
L5K,21503
L5L,40341
L5M,80850
L5N,67253
L5P,317738
L5R,1033202
L5S,379480
L5T,103246
L5V,34113
L5W,25698
L6A,197053
L6B,1443424
L6C,119175
L6E,195125
L6G,33203
L6H,199910
L6J,322757
L6K,154116
L6L,70574
L6M,94677
L6P,73962
L6R,56073
L6S,40005
L6T,54287
L6V,20648
L6W,599419
L6X,143180
L6Y,559089
L6Z,122307
L7A,464440
L7B,212030
L7C,54821
L7E,178015
L7G,31949
L7J,109643
L7L,395788
L7M,558368
L7N,13431
L7P,99031
L7R,83721
L7S,184305
L7T,87350
L8E,555722
L8G,688635
L8H,12687
L8J,76064
L8K,107122
L8L,13650
L8M,114032
L8N,795124
L8P,56625
L8R,34900
L8S,11097
L8T,414880
L8V,450046
L8W,92696
L9A,656372
L9B,3231275
L9C,34440
L9G,318482
L9H,270402
L9K,315682
L9L,927011
L9M,102951
L9N,45516
L9P,275842
L9R,165914
L9S,161504
L9T,346560
L9V,28761
L9W,406061
L9Y,55599
L9Z,77281
M1B,288135
M1C,100963
M1E,438474
M1G,29248
M1H,104822
M1J,241272
M1K,87474
M1L,97623
M1M,391232
M1N,14252
M1P,1629516
M1R,284996
M1S,95071
M1T,113482
M1V,366954
M1W,108723
M1X,65331
M2H,797765
M2J,108879
M2K,35168
M2L,22503
M2M,2076529
M2N,30661
M2P,423196
M2R,71278
M3A,186464
M3B,105241
M3C,539560
M3H,157624
M3J,234392
M3K,362864
M3L,60765
M3M,45946
M3N,144525
M4A,164541
M4B,179098
M4C,13786650
M4E,486534
M4G,795601
M4H,787362
M4J,51258
M4K,48573
M4L,236959
M4M,41706
M4N,114760
M4P,159999
M4R,11701
M4S,105616
M4T,57311
M4V,942333
M4W,73543
M4X,106488
M4Y,163851
M5A,956887
M5B,63447
M5C,12215
M5E,49546
M5G,13165
M5H,1024032
M5J,49117
M5K,898760
M5L,54951
M5M,668961
M5N,280208
M5P,19798
M5R,20385
M5S,37193
M5T,826677
M5V,282067
M5W,34408
M5X,107467
M6A,56186
M6B,107317
M6C,162896
M6E,165825
M6G,123959
M6H,18157
M6J,773303
M6K,108473
M6L,91129
M6M,73467
M6N,98180
M6P,334252
M6R,13241714
M6S,2611155
M7A,802774
M7Y,372026
M8V,47731
M8W,83737
M8X,85471
M8Y,606006
M8Z,28814
M9A,1269945
M9B,94558
M9C,177970
M9L,484616
M9M,114395
M9N,253686
M9P,512457
M9R,18162
M9V,40526
M9W,60827
N0A,67584
N0B,19604
N0C,60067
N0E,22038
N0G,46138
N0H,62933
N0J,37666
N0K,28723
N0L,582972
N0M,612167
N0N,20812
N0P,248946
N0R,180916
N1A,311873
N1C,417492
N1E,179948
N1G,436947
N1H,53066
N1K,43010
N1L,12635
N1M,1275404
N1P,104937
N1R,35520
N1S,38499
N1T,30274
N2A,622781
N2B,352768
N2C,288295
N2E,528852
N2G,24797
N2H,13049
N2J,289828
N2K,170184
N2L,278000
N2M,46927
N2N,61499
N2P,206730
N2R,1859896
N2T,55023
N2V,52329
N2Z,44248
N3A,1932035
N3B,21503
N3C,40341
N3E,80850
N3H,67253
N3L,317738
N3P,1033202
N3R,379480
N3S,103246
N3T,34113
N3V,25698
N3W,197053
N3Y,1443424
N4B,119175
N4G,195125
N4K,33203
N4L,199910
N4N,322757
N4S,154116
N4T,70574
N4V,94677
N4W,73962
N4X,56073
N4Z,40005
N5A,54287
N5C,20648
N5H,599419
N5L,143180
N5P,559089
N5R,122307
N5V,464440
N5W,212030
N5X,54821
N5Y,178015
N5Z,31949
N6A,109643
N6B,395788
N6C,558368
N6E,13431
N6G,99031
N6H,83721
N6J,184305
N6K,87350
N6L,555722
N6M,688635
N6N,12687
N6P,76064
N7A,107122
N7G,13650
